id,name,x,y,faction1,faction2,faction3,faction4,indType,factories,polType
730,Dompaire,-74.717,300.067,LC,Tamar Pact,Tamar Domains,null,Other,0,Other
731,Donegal,-182.405,159.288,LC,Protectorate of Donegal,District of Donegal,null,Minor Industrial,2,Major Capital
732,Donenac,200.327,88.880,DC,Benjamin Military District,Irurzun Prefecture,null,Other,0,Other
733,Doneval,198.781,8.744,FS,Draconis March,Robinson Operational Area,Le Blanc PDZ,Other,0,Other
734,Dothan,433.735,-134.245,FS,Crucis March,Minette Operational Area,Point Barrow Combat Region,Other,0,Other
735,Dove,33.666,178.549,null,null,null,null,Other,0,Other
736,Dover,132.602,201.313,DC,Benjamin Military District,Benjamin Prefecture,null,Minor Industrial,1,Other
737,Dowles,117.001,-207.462,null,null,null,null,Other,0,Other
738,Dralkig,516.624,113.395,null,null,null,null,Other,0,Other
739,Dreadlord,566.112,151.565,null,null,null,null,Other,0,Other
740,Dresden,-202.799,81.307,null,null,null,null,Other,0,Other
741,Drienfontein,271.153,-290.356,FS,Capellan March,Taygeta Operational Area,Warren PDZ,Other,0,Other
742,Dromini,-20.939,66.122,DC,Dieron Military District,Kessel Prefecture,null,Other,0,Other
743,Drosendorf,-258.995,41.312,LC,Protectorate of Donegal,Bolan Province,null,Other,0,Other
744,Drozan,31.267,-369.942,CC,Sian Commonality,Region 13,null,Other,0,Other
745,Drusibacken,-123.305,-123.644,FWL,null,null,null,Other,0,Other
746,Du Lac,344.556,-162.650,null,null,null,null,Other,0,Other
747,Duantia,-339.997,57.921,null,null,null,null,Other,0,Other
748,Dubhe,-70.576,-16.073,FWL,null,null,null,Other,0,Other
749,Dukambia,-181.990,213.726,LC,Protectorate of Donegal,District of Donegal,null,Other,0,Other
750,Dumaring,79.605,223.291,DC,Benjamin Military District,Buckminster Prefecture,null,Other,0,Other
751,Dumassas,428.872,-321.741,null,null,null,null,Other,0,Other
752,Dunianshire,-77.807,-498.048,MOC,null,null,null,Major Industrial,3,Other
753,Dunkerque,272.432,-196.850,null,null,null,null,Other,0,Other
754,Dunklewälderdunklerflüssenschattenwelt,440.689,243.842,null,null,null,null,Other,0,Other
755,Durabon,-279.793,-441.329,null,null,null,null,Other,0,Other
756,Duran,-263.156,144.710,LC,Protectorate of Donegal,Alarion Province,null,Other,0,Other
757,Dustball,-104.483,266.199,LC,Tamar Pact,Tamar Domains,null,Other,0,Other
758,Duxford,569.558,12.634,null,null,null,null,Other,0,Other
759,Duxfort,203.509,350.887,null,null,null,null,Other,0,Other
760,Dyev,5.683,40.797,DC,Dieron Military District,Kessel Prefecture,null,Other,0,Other
761,Dyfed,126.138,213.725,DC,Benjamin Military District,Benjamin Prefecture,null,Other,0,Other
762,Eagle Rest,-244.105,-549.928,null,null,null,null,Other,0,Other
763,Eaglesham,-33.349,134.632,LC,Federation of Skye,Virginia Shire,null,Other,0,Other
764,Early Dawn,-92.969,-428.575,MOC,null,null,null,Other,0,Other
765,Eaton,-80.915,112.658,LC,Federation of Skye,Virginia Shire,null,Other,0,Other
766,Ebensburg,237.278,301.385,DC,Pesht Military District,Kagoshima Prefecture,null,Other,0,Other
767,Ebro,563.759,-129.592,FS,Crucis March,Minette Operational Area,Broken Wheel Combat Region,Other,0,Other
768,Echo,287.430,369.625,DC,Pesht Military District,Bjarred Prefecture,null,Other,0,Other
769,Edasich,-96.423,120.664,LC,Federation of Skye,Virginia Shire,null,Other,0,Other
770,Edirne,-462.404,290.917,null,null,null,null,Other,0,Other
771,Edmondson,-338.693,-102.927,FWL,null,null,null,Other,0,Other
772,Edwards,132.086,-32.361,FS,Crucis March,Markesan Operational Area,Achemar Combat Region,Other,0,Other
773,Egress,67.969,-370.238,CC,Sian Commonality,Region 14,null,Other,0,Other
774,Eguilles,37.214,233.116,DC,Rasalhague Military District,Rubigen Prefecture,null,Other,0,Other
775,Eidsfoss,-153.536,58.886,LC,Protectorate of Donegal,Bolan Province,null,Other,0,Other
776,Eigerland,572.236,187.147,null,null,null,null,Other,0,Other
777,Eilenburg,-220.240,19.339,LC,Protectorate of Donegal,Bolan Province,null,Other,0,Other
778,Eion,-357.161,-122.853,null,null,null,null,Other,0,Other
779,Ejeda,734.348,140.461,null,null,null,null,Other,0,Other
780,El Dorado,266.495,-145.054,FS,Crucis March,Markesan Operational Area,New Avalon Combat Region,Other,0,Other
781,El Giza,-68.861,-274.002,FWL,Mosiro Archipelago,null,null,Other,0,Other
782,El Kerak,279.153,-251.206,null,null,null,null,Other,0,Other
783,Elba,-418.221,302.556,null,null,null,null,Other,0,Other
784,Elbar,126.654,-8.057,FS,Draconis March,Robinson Operational Area,Kentares PDZ,Other,0,Other
785,Elbing,-65.529,-70.625,null,null,null,null,Other,0,Other
786,Electra,215.323,-322.371,FS,Capellan March,Taygeta Operational Area,Altair PDZ,Other,0,Other
787,Elektrougli,-113.194,-184.105,FWL,null,null,null,Other,0,Other
788,Eleusis,-166.519,-341.994,FWL,null,null,null,Other,0,Other
789,Elidere,279.947,75.955,FS,Draconis March,Robinson Operational Area,Dahar PDZ,Other,0,Other
790,Elissa,-39.048,483.083,EF,null,null,null,Other,0,Other
791,Elix,45.701,71.019,null,null,null,null,Other,0,Other
792,Ellengurg,-297.549,259.478,LC,Protectorate of Donegal,Coventry Province,null,Other,0,Other
793,Ellijay,-334.034,7.708,LC,Protectorate of Donegal,Alarion Province,null,Other,0,Other
794,Ellsworth,-210.428,-239.708,FWL,Principality of Regulus,null,null,Other,0,Other
795,Elnath,18.600,-127.209,CC,Sarna Commonality,Region 3,null,Other,0,Other
796,Eltanin,-1.917,99.345,DC,Dieron Military District,Vega Prefecture,null,Other,0,Other
797,Elume,-372.480,331.077,LC,Protectorate of Donegal,Coventry Province,null,Other,0,Other
798,Emar,325.039,344.714,null,null,null,null,Other,0,Other
799,Emerson,171.566,-115.567,FS,Capellan March,Kathil Operational Area,Kathil PDZ,Other,0,Other
800,Emporia,256.663,-6.504,FS,Draconis March,Robinson Operational Area,Le Blanc PDZ,Other,0,Other
801,Emris,-88.934,-149.415,FWL,The Protectorate,null,null,Minor Industrial,1,Other
802,Enchi,294.417,-287.780,FS,Capellan March,Taygeta Operational Area,Warren PDZ,Other,0,Other
803,Enders Cluster,-447.223,69.227,LC,Protectorate of Donegal,Alarion Province,null,Other,0,Other
804,Engadin,19.896,336.507,DC,Rasalhague Military District,Radstadt Prefecture,null,Other,0,Other
805,Engadine,-351.280,354.868,LC,Protectorate of Donegal,Coventry Province,null,Other,0,Other
806,Enif,429.094,288.686,DC,Galedon Military District,Tabayama Prefecture,null,Other,0,Other
807,Enkoping,-136.785,103.607,LC,Protectorate of Donegal,District of Donegal,null,Other,0,Other
808,Enkra,119.287,-410.733,AuC,null,null,null,Other,0,Other
809,Entalun,335.777,-0.572,null,null,null,null,Other,0,Other
810,Enzesfled,-380.510,128.941,LC,Protectorate of Donegal,Alarion Province,null,Other,0,Other
811,Eom,-18.038,-191.788,CC,Capella Commonality,Region 5,null,Other,0,Other
812,Epsilon,-316.183,-59.498,FWL,null,null,null,Other,0,Other
813,Epsilon Eridani,18.350,-21.248,CC,Tikonov Commonality,Region 2,null,Other,0,Other
814,Epsilon Indi,29.203,-15.558,CC,Tikonov Commonality,Region 3,null,Other,0,Other
815,Erdvynn,-453.557,-21.346,null,null,null,null,Other,0,Other
816,Erewhon,-185.854,445.857,MV,null,null,null,Other,0,Other
817,Erin,-160.065,515.891,I,null,null,null,Other,0,Other
818,Eromanga,-283.873,-118.489,FWL,null,null,null,Other,0,Other
819,Errai,52.512,3.478,FS,Draconis March,Robinson Operational Area,Addicks PDZ,Other,0,Other
820,Eschenberg,-149.407,181.546,null,null,null,null,Other,0,Other
821,Escobas,-216.878,-126.417,FWL,Duchy of Graham-Marik,null,null,Other,0,Other
822,Espakeh,301.911,341.683,DC,Pesht Military District,Kagoshima Prefecture,null,Other,0,Other
823,Espia,-16.910,-389.694,null,null,null,null,Other,0,Other
824,Esteros,-157.657,268.588,LC,Protectorate of Donegal,District of Donegal,null,Other,0,Other
825,Estuan,396.520,-306.719,FS,Crucis March,Chirikof Operational Area,Kearny Combat Region,Other,0,Other
826,Esztergom,-237.219,-96.946,null,null,null,null,Other,0,Other
827,Etiler,-378.230,198.997,LC,Protectorate of Donegal,Alarion Province,null,Other,0,Other
828,Euclid,349.466,-70.614,FS,Crucis March,Markesan Operational Area,Kestrel Combat Region,Other,0,Other
829,Euschelus,280.794,-389.434,TC,Perdition Union,null,null,Other,0,Other
830,Eustatius,458.045,-198.575,FS,Crucis March,Minette Operational Area,Broken Wheel Combat Region,Other,0,Other
831,Eutin,-222.818,150.133,LC,Protectorate of Donegal,Coventry Province,null,Other,0,Other
832,Evansville,293.644,-36.233,FS,Crucis March,Markesan Operational Area,Kestrel Combat Region,Other,0,Other
833,Evciler,-95.137,356.673,LC,Tamar Pact,Trellshire,null,Other,0,Other
834,Everett,149.754,-91.345,null,null,null,null,Other,0,Other
835,Ewanrigg,-330.860,287.400,LC,Protectorate of Donegal,Coventry Province,null,Other,0,Other
836,Exedor,-13.198,-207.890,CC,Capella Commonality,Region 5,null,Other,0,Other
837,Exeter,188.432,-8.057,FS,Draconis March,Robinson Operational Area,Kentares PDZ,Other,0,Other
838,Fadiffolu,-243.532,-242.779,FWL,null,null,null,Other,0,Other
839,Fagerholm,-81.951,-363.004,FWL,null,null,null,Other,0,Other
840,Fairfax,353.336,31.210,FS,Draconis March,Woodbine Operational Area,Bremond PDZ,Other,0,Other
841,Fairfield,288.959,45.703,FS,Draconis March,Robinson Operational Area,Dahar PDZ,Other,0,Other
842,Faleolo,-188.224,-200.359,FWL,Principality of Regulus,null,null,Other,0,Other
843,Fallen Stars,-479.141,38.716,null,null,null,null,Other,0,Other
844,Fallon,367.830,48.548,FS,Draconis March,Woodbine Operational Area,Bremond PDZ,Other,0,Other
845,Fallry,587.889,290.107,null,null,null,null,Other,0,Other
846,False Dawn,632.695,288.309,null,null,null,null,Other,0,Other
847,Falsterbo,170.860,147.555,DC,Benjamin Military District,Benjamin Prefecture,null,Other,0,Other
848,Famdo,469.550,-369.433,null,null,null,null,Other,0,Other
849,Fanardir,-118.034,-398.676,MOC,null,null,null,Other,0,Other
850,Far Reach,-216.873,567.699,CI,null,null,null,Other,0,Other
851,Farcry,-485.097,248.963,null,null,null,null,Other,0,Other
852,Farnsworth,561.438,31.491,FS,Draconis March,Woodbine Operational Area,Kilbourne PDZ,Other,0,Other
853,Farwell,140.619,-79.668,FS,Crucis March,Markesan Operational Area,Achemar Combat Region,Other,0,Other
854,Fathepur,246.783,-259.757,null,null,null,null,Other,0,Other
855,Fatima,-31.294,175.727,LC,Tamar Pact,Tamar Domains,null,Other,0,Other
856,Fefferfer,17.144,203.222,null,null,null,null,Other,0,Other
857,Feijo,691.063,250.202,null,null,null,null,Other,0,Other
858,Fellanin,132.086,32.779,DC,Benjamin Military District,Proserpina Prefecture,null,Other,0,Other
859,Feltre,-20.174,362.104,DC,Rasalhague Military District,Kirchbach Prefecture,null,Other,0,Other
860,Ferihegy,-390.124,161.510,LC,Protectorate of Donegal,Alarion Province,null,Other,0,Other
861,Ferleiten,25.320,353.837,DC,Rasalhague Military District,Radstadt Prefecture,null,Other,0,Other
862,Ferranil,121.052,400.590,null,null,null,null,Other,0,Other
863,Ferrara,272.891,-169.215,null,null,null,null,Other,0,Other
864,Ferris,583.667,126.868,OA,Baliggora Province,null,null,Other,0,Other
865,Fetsund,446.666,-240.997,FS,Crucis March,Minette Operational Area,Broken Wheel Combat Region,Other,0,Other
866,Fianna,-141.443,20.628,LC,Federation of Skye,Rahneshire,null,Other,0,Other
867,Fieferana,-172.962,-268.848,FWL,null,null,null,Other,0,Other
868,Fiery Plains,363.991,-416.321,null,null,null,null,Other,0,Other
869,Filtvelt,506.643,-181.529,FS,Crucis March,Minette Operational Area,Broken Wheel Combat Region,Other,0,Other
870,Fincastle,323.110,-163.191,FS,Crucis March,Chirikof Operational Area,Remagen Combat Region,Other,0,Other
871,Findal,-523.537,258.924,null,null,null,null,Other,0,Other
872,Finmark,-405.348,332.888,null,null,null,null,Other,0,Other
873,Finse,531.470,166.883,null,null,null,null,Other,0,Other
874,Finsterwalde,-289.827,17.796,LC,Protectorate of Donegal,Alarion Province,null,Other,0,Other
875,Firenze,-401.729,134.377,LC,Protectorate of Donegal,Alarion Province,null,Other,0,Other
876,Firgrove,249.955,-298.878,FS,Capellan March,Taygeta Operational Area,Warren PDZ,Other,0,Other
877,Fjaldr,88.314,-404.570,AuC,null,null,null,Other,0,Other
878,Fjernet,-397.004,248.388,null,null,null,null,Other,0,Other
879,Flatspin,260.080,-385.927,null,null,null,null,Other,0,Other
880,Flaum,182.350,-415.472,TC,Hyades Union,null,null,Other,0,Other
881,Fletcher,46.777,-23.569,CC,Tikonov Commonality,Region 3,null,Other,0,Other
882,Fletcher,-67.732,-209.973,FWL,Duchy of Oriente,null,null,Other,0,Other
883,Fletcher's Feast,677.501,-218.960,TD,null,null,null,Other,0,Other
884,Flintoft,191.536,-333.272,FS,Capellan March,Taygeta Operational Area,Altair PDZ,Other,0,Other
885,Florarda,32.033,-256.932,null,null,null,null,Other,0,Other
886,Florida,-426.806,73.885,LC,Protectorate of Donegal,Alarion Province,null,Other,0,Other
887,Flushing,195.410,-64.671,FS,Crucis March,Markesan Operational Area,Achemar Combat Region,Other,0,Other
888,Flychenia,-181.916,-100.888,null,null,null,null,Other,0,Other
889,Flynn,639.635,174.673,null,null,null,null,Other,0,Other
890,Fomalhaut,20.928,5.382,FS,Draconis March,Robinson Operational Area,Addicks PDZ,Other,0,Other
891,Foochow,88.919,-97.499,CC,Sarna Commonality,Region 2,null,Other,0,Other
892,Foot Fall,94.601,-109.868,CC,Sarna Commonality,Region 3,null,Other,0,Other
893,Ford,-191.298,-29.514,LC,Protectorate of Donegal,Bolan Province,null,Other,0,Other
894,Forkas,-211.229,159.967,LC,Protectorate of Donegal,District of Donegal,null,Other,0,Other
895,Fort Loudon,-32.326,209.081,LC,Tamar Pact,Tamar Domains,null,Other,0,Other
896,Fortymile,193.597,-214.330,FS,Capellan March,Taygeta Operational Area,New Syrtis PDZ,Other,0,Other
897,Franklin,250.736,10.805,FS,Draconis March,Robinson Operational Area,Le Blanc PDZ,Other,0,Other
898,Frankson,555.124,-193.261,null,null,null,null,Other,0,Other
899,Frazer,129.232,-333.467,FS,Capellan March,Taygeta Operational Area,Sirdar PDZ,Other,0,Other
900,Fredotto,-171.593,561.806,CI,null,null,null,Other,0,Other
901,Freedom,-64.275,107.739,LC,Federation of Skye,Virginia Shire,null,Other,0,Other
902,Freisland,234.966,-118.688,FS,Crucis March,Markesan Operational Area,New Avalon Combat Region,Other,0,Other
903,Frondas,-17.846,-247.735,CC,Sian Commonality,Region 2,null,Other,0,Other
904,Fronde,-5.962,-251.599,CC,Sian Commonality,Region 2,null,Other,0,Other
905,Fuentes,-72.905,-145.351,FWL,The Protectorate,null,null,Other,0,Other
906,Fugeres,555.362,-213.188,null,null,null,null,Other,0,Other
907,Fujidera,-76.782,-225.435,FWL,Duchy of Oriente,null,null,Other,0,Other
908,Fukuroi,110.627,134.115,DC,Benjamin Military District,Benjamin Prefecture,null,Other,0,Other
909,Furillo,-137.266,78.255,LC,Protectorate of Donegal,Bolan Province,null,Minor Industrial,1,Other
910,Furud,-25.337,-284.112,FWL,null,null,null,Other,0,Other
911,Futuna,-209.634,-190.845,FWL,null,null,null,Other,0,Other
912,Fuveau,440.454,-232.666,FS,Crucis March,Minette Operational Area,Broken Wheel Combat Region,Other,0,Other
913,Gabenstad,-343.633,404.217,null,null,null,null,Other,0,Other
914,Gacrux,-86.503,10.720,LC,Federation of Skye,Isle of Skye,null,Other,0,Other
915,Gaeri,665.682,220.688,null,null,null,null,Other,0,Other
916,Gahral,120.665,-176.543,null,null,null,null,Other,0,Other
917,Galatea,-53.775,34.077,LC,Federation of Skye,Isle of Skye,null,Other,0,Other
918,Galatia,90.726,14.234,FS,Draconis March,Robinson Operational Area,Kentares PDZ,Other,0,Other
919,Galax,283.632,-124.547,FS,Crucis March,Markesan Operational Area,New Avalon Combat Region,Minor Industrial,1,Other
920,Galedon,331.999,173.891,DC,Galedon Military District,New Samarkand Prefecture,null,Other,0,Major Capital
921,Galisteo,-355.928,-71.907,FWL,null,null,null,Other,0,Other
922,Gallatin,-160.771,-74.494,FWL,null,null,null,Other,0,Other
923,Gallery,-198.236,108.266,LC,Protectorate of Donegal,Bolan Province,null,Other,0,Other
924,Gallis,-173.659,-380.426,MOC,null,null,null,Other,0,Other
925,Gallitzin,131.569,-163.389,FS,Capellan March,Kathil Operational Area,Valexa PDZ,Other,0,Other
926,Galtor,194.121,73.107,FS,Draconis March,Robinson Operational Area,Raman PDZ,Other,0,Other
927,Galuzzo,-15.527,250.954,DC,Rasalhague Military District,Rubigen Prefecture,null,Other,0,Other
928,Gambarare,357.235,-269.940,FS,Crucis March,Chirikof Operational Area,Islamabad Combat Region,Other,0,Other
929,Gambier,381.787,-60.022,FS,Crucis March,Minette Operational Area,Tsamma Combat Region,Other,0,Other
930,Gambilon,-263.594,-382.840,MOC,null,null,null,Other,0,Other
931,Gamlestolen,601.166,-103.713,null,null,null,null,Other,0,Other
932,Gan Singh,41.613,-79.668,CC,Tikonov Commonality,Region 9,null,Other,0,Other
933,Gandy's Luck,250.211,93.012,DC,Galedon Military District,Matsuida Prefecture,null,Other,0,Other
934,Gangtok,135.199,-472.324,AuC,null,null,null,Other,0,Other
935,Gannett,-165.429,-60.539,FWL,null,null,null,Other,0,Other
936,Ganshoren,-43.428,158.150,LC,Tamar Pact,Tamar Domains,null,Other,0,Other
937,Gardnaus,118.314,-324.250,null,null,null,null,Other,0,Other
938,Garrison,-103.187,180.382,LC,Protectorate of Donegal,District of Donegal,null,Other,0,Other
939,Garstedt,126.138,382.004,DC,Rasalhague Military District,Trondheim Prefecture,null,Other,0,Other
940,Gatchina,-270.887,-295.212,FWL,null,null,null,Other,0,Other
941,Gatineau,-242.449,296.964,LC,Protectorate of Donegal,Coventry Province,null,Other,0,Other
942,Geifer,37.535,-186.266,CC,Capella Commonality,Region 2,null,Other,0,Other
943,Gei-Fu,57.639,-199.071,CC,Capella Commonality,Region 3,null,Other,0,Other
944,Genf,147.002,-123.181,null,null,null,null,Other,0,Other
945,Genoa,39.026,-59.756,CC,Tikonov Commonality,Region 9,null,Other,0,Other
946,Gettorf,-213.790,-536.114,null,null,null,null,Other,0,Other
947,Ghaziabad,-307.668,-237.622,FWL,null,null,null,Other,0,Other
948,Ghorepani,10.056,-406.489,null,null,null,null,Other,0,Other
949,Giausar,-207.850,-26.411,LC,Protectorate of Donegal,Bolan Province,null,Other,0,Other
950,Gibbs,-201.110,157.892,LC,Protectorate of Donegal,District of Donegal,null,Minor Industrial,2,Other
951,Gibraltar,-359.596,-139.898,FWL,Abbey District,null,null,Other,0,Other
952,Gibson,-245.811,-215.127,FWL,Principality of Gibson,null,null,Minor Industrial,2,Other
953,Gienah,-183.072,-12.971,LC,Protectorate of Donegal,Bolan Province,null,Minor Industrial,1,Other
954,Gillfillan's Gold,-475.372,113.176,I,null,null,null,Other,0,Other
955,Gillingham,500.693,-211.461,FS,Crucis March,Minette Operational Area,Broken Wheel Combat Region,Other,0,Other
956,Ginestra,-110.619,163.323,LC,Protectorate of Donegal,District of Donegal,null,Other,0,Other
957,Gingeria,-544.585,151.638,null,null,null,null,Other,0,Other
958,Girondas,152.918,-421.676,null,null,null,null,Other,0,Other
959,Gitarama,676.503,263.403,null,null,null,null,Other,0,Other
960,Giverny,623.205,-84.166,null,null,null,null,Other,0,Other
961,Givrodat,-187.429,522.375,null,null,null,null,Other,0,Other
962,Glabach,108.824,443.254,null,null,null,null,Other,0,Other
963,Gladius,-95.911,71.810,LC,Federation of Skye,Virginia Shire,null,Other,0,Other
964,Glasgow,28.430,-215.623,CC,Capella Commonality,Region 7,null,Other,0,Other
965,Glengarry,-76.782,76.984,LC,Federation of Skye,Virginia Shire,null,Other,0,Other
966,Glenlivet,14.499,174.540,null,null,null,null,Other,0,Other
967,Glenmora,285.367,52.938,FS,Draconis March,Robinson Operational Area,Dahar PDZ,Other,0,Other
968,Glentworth,125.880,-317.712,FS,Capellan March,Taygeta Operational Area,Sirdar PDZ,Other,0,Other
969,Glevakha,-206.769,-303.733,FWL,null,null,null,Other,0,Other
970,Glitnir,603.107,234.854,null,null,null,null,Other,0,Other
971,Gniezno,-127.550,-22.018,null,null,null,null,Other,0,Other
972,Goat Path,-154.338,353.569,LC,Protectorate of Donegal,Coventry Province,null,Other,0,Other
973,Goderich,144.496,-49.416,FS,Crucis March,Markesan Operational Area,Achemar Combat Region,Other,0,Other
974,Goetville,-261.373,263.876,LC,Protectorate of Donegal,Coventry Province,null,Other,0,Other
975,Goito,44.706,332.893,DC,Rasalhague Military District,Radstadt Prefecture,null,Other,0,Other
976,Golandrinas,-159.482,400.359,LC,Tamar Pact,Trellshire,null,Other,0,Other
977,Goldlure,269.002,108.124,null,null,null,null,Other,0,Other
978,Gomeisa,-49.383,-127.009,FWL,null,null,null,Other,0,Other
979,Goodna,-28.450,-240.200,FWL,null,null,null,Other,0,Other
980,Gorfynt,-233.620,488.928,null,null,null,null,Other,0,Other
981,Gorgon,-547.280,267.571,null,null,null,null,Other,0,Other
982,Gorki,-15.376,-163.488,null,null,null,null,Other,0,Other
983,Goshen,134.673,-94.653,FS,Capellan March,Kathil Operational Area,Valexa PDZ,Other,0,Other
984,Goth Khakar,-332.448,-244.560,FWL,null,null,null,Other,0,Other
985,Götterdämmerung,-179.596,465.608,MV,null,null,null,Other,0,Other
986,Goubellat,351.289,165.129,DC,Galedon Military District,New Samarkand Prefecture,null,Other,0,Other
987,Gouderak,-116.865,-354.683,FWL,null,null,null,Other,0,Other
988,Graceland,-100.609,246.035,LC,Tamar Pact,Tamar Domains,null,Other,0,Other
989,Graham,-23.526,-10.386,FWL,Sirian Concordat,null,null,Other,0,Other
990,Gram,54.279,144.452,DC,Benjamin Military District,Buckminster Prefecture,null,Other,0,Other
991,Gran,-296.270,-171.177,null,null,null,null,Other,0,Other
992,Grand Base,46.002,-298.878,CC,Sian Commonality,Region 8,null,Minor Industrial,1,Other
993,Granera,-98.239,-330.395,FWL,null,null,null,Other,0,Other
994,Grankum,579.334,274.300,null,null,null,null,Other,0,Other
995,Graus,-100.617,297.223,LC,Tamar Pact,Tamar Domains,null,Other,0,Other
996,Gravenhage,304.745,425.981,DC,Pesht Military District,Qandahar Prefecture,null,Other,0,Other
997,Gravensteen,219.606,-133.944,null,null,null,null,Other,0,Other
998,Graz,-216.681,126.890,null,null,null,null,Other,0,Other
999,Great Gorge,492.678,-266.866,FS,Crucis March,Chirikof Operational Area,Kearny Combat Region,Other,0,Other
1000,Great X,-184.360,287.911,LC,Protectorate of Donegal,Coventry Province,null,Other,0,Other
1001,Greeley,449.254,40.273,FS,Draconis March,Woodbine Operational Area,Milligan PDZ,Other,0,Other
1002,Green Stone,-405.913,-79.963,CF,null,null,null,Other,0,Other
1003,Greenlaw,-227.474,159.438,LC,Protectorate of Donegal,Coventry Province,null,Other,0,Other
1004,Greypearl,461.441,254.628,null,null,null,null,Other,0,Other
1005,Griffith,-333.734,-76.560,FWL,null,null,null,Other,0,Other
1006,Grobin,-98.678,-68.207,null,null,null,null,Other,0,Other
1007,Gronholt,466.046,-261.113,FS,Crucis March,Chirikof Operational Area,Kearny Combat Region,Other,0,Other
1008,Grootfontein,97.358,105.025,null,null,null,null,Other,0,Other
1009,Grossbach,310.035,-366.791,TC,Perdition Union,null,null,Other,0,Other
1010,Grosvenor,285.875,-224.640,FS,Crucis March,Chirikof Operational Area,Remagen Combat Region,Other,0,Other
1011,Groveld,386.961,113.430,FS,Draconis March,Woodbine Operational Area,Bryceland PDZ,Other,0,Other
1012,Grumium,-4.923,186.846,DC,Rasalhague Military District,Rubigen Prefecture,null,Other,0,Other
1013,Grunwald,-97.456,203.129,LC,Protectorate of Donegal,District of Donegal,null,Other,0,Other
1014,Gruyeres,240.675,-214.560,null,null,null,null,Other,0,Other
1015,Guangzho,-109.825,-285.400,FWL,null,null,null,Other,0,Other
1016,Guatavita,-286.449,238.027,LC,Protectorate of Donegal,Coventry Province,null,Other,0,Other
1017,Guldra,114.417,-461.156,AuC,null,null,null,Other,0,Other
1018,Gulkana,353.609,-177.861,FS,Crucis March,Chirikof Operational Area,Remagen Combat Region,Other,0,Other
1019,Gunthar,39.275,-383.124,CC,Sian Commonality,Region 13,null,Other,0,Other
1020,Gunzburg,12.395,290.245,DC,Rasalhague Military District,Radstadt Prefecture,null,Other,0,Other
1021,Gurnet,93.475,-231.091,FS,Capellan March,Kathil Operational Area,Alcyone PDZ,Other,0,Other
1022,Gurrnazovo,423.405,-240.700,FS,Crucis March,Chirikof Operational Area,Remagen Combat Region,Other,0,Other
1023,Gustrell,-66.621,466.650,OC,null,null,null,Other,0,Other
1024,Gwynedd,-276.407,459.462,null,null,null,null,Other,0,Other
1025,Gypsum,-281.491,26.058,LC,Protectorate of Donegal,Bolan Province,null,Other,0,Other
1026,Haappajarvi,137.240,-240.696,FS,Capellan March,Kathil Operational Area,Alcyone PDZ,Other,0,Other
1027,Hachiman,252.799,152.204,DC,Galedon Military District,Oshika Prefecture,null,Other,0,Other
1028,Haddings,-44.033,13.933,null,null,null,null,Other,0,Other
1029,Hadnall,136.734,-262.702,FS,Capellan March,Taygeta Operational Area,Sirdar PDZ,Other,0,Other
1030,Haerhbin,-6.444,-213.646,null,null,null,null,Other,0,Other
1031,Haggard,-477.067,59.406,null,null,null,null,Other,0,Other
1032,Hagiwawa,123.552,112.142,DC,Benjamin Military District,Proserpina Prefecture,null,Other,0,Other
1033,Hahira,550.062,-100.644,FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region,Other,0,Other
1034,Hainfeld,-13.447,268.525,DC,Rasalhague Military District,Rubigen Prefecture,null,Other,0,Other
1035,Hakkaido,267.636,228.588,null,null,null,null,Other,0,Other
1036,Halesowen,36.439,251.726,DC,Rasalhague Military District,Rubigen Prefecture,null,Other,0,Other
1037,Halfway,-252.553,86.034,LC,Protectorate of Donegal,Bolan Province,null,Other,0,Other
1038,Halgrim,625.961,154.393,null,null,null,null,Other,0,Other
1039,Halifax,-440.980,128.944,LC,Protectorate of Donegal,Alarion Province,null,Other,0,Other
1040,Hall,-13.961,-44.251,CC,Tikonov Commonality,Region 4,null,Other,0,Other
1041,Halla,513.804,204.112,null,null,null,null,Other,0,Other
1042,Halloran,72.894,-77.022,FS,Capellan March,Kathil Operational Area,Valexa PDZ,Other,0,Other
1043,Halmyre Deans,-125.884,98.175,LC,Protectorate of Donegal,District of Donegal,null,Other,0,Other
1044,Halstead Station,78.057,43.443,DC,Dieron Military District,Ashio Prefecture,null,Other,0,Other
1045,Hamal,64.875,-43.470,CC,Tikonov Commonality,Region 6,null,Other,0,Other
1046,Hamilton,-35.677,-81.311,FWL,Marik Commonwealth,null,null,Other,0,Other
1047,Hamilton,-150.760,222.000,LC,Protectorate of Donegal,District of Donegal,null,Other,0,Other
1048,Hammer,-369.912,-142.769,FWL,Abbey District,null,null,Other,0,Other
1049,Handa,274.771,140.578,DC,Galedon Military District,Oshika Prefecture,null,Other,0,Other
1050,Hanover,167.233,364.203,DC,Pesht Military District,Albiero Prefecture,null,Other,0,Other
1051,Hanseta,287.702,-352.311,null,null,null,null,Other,0,Other
1052,Hansii,64.184,-362.850,null,null,null,null,Other,0,Other
1053,Harbin,17.605,-223.263,null,null,null,null,Other,0,Other
1054,Hardcore,-198.284,-473.209,MOC,null,null,null,Other,0,Other
1055,Harlez,-510.429,147.614,null,null,null,null,Other,0,Other
